Date,Time,Open,High,Low,Close,Volume
2023.08.25,17:45:00,4370.3,4370.6,4356.1,4356.9,1550
2023.08.25,18:00:00,4357.1,4378.4,4354.8,4372.9,1390
2023.08.25,18:15:00,4372.9,4385.9,4364.4,4385.3,1302
2023.08.25,18:30:00,4385.3,4392.5,4379,4385.6,1266
2023.08.25,18:45:00,4385.5,4388.5,4371.8,4374.9,1392
2023.08.25,19:00:00,4374.8,4384.3,4374,4383.6,1261
2023.08.25,19:15:00,4383.4,4393.1,4377.8,4392.8,1154
2023.08.25,19:30:00,4393.1,4395.8,4389.9,4390.5,984
2023.08.25,19:45:00,4390.5,4393.6,4384.1,4391.5,971
2023.08.25,20:00:00,4391.5,4394,4386.6,4393.3,959
2023.08.25,20:15:00,4393.5,4395.9,4381.3,4386,1147
2023.08.25,20:30:00,4386.1,4386.1,4378.6,4384.1,957
2023.08.25,20:45:00,4383.9,4390.8,4379.1,4390.7,854
2023.08.25,21:00:00,4390.5,4397.3,4389.3,4396.8,850
2023.08.25,21:15:00,4396.8,4409,4392.3,4408.6,946
2023.08.25,21:30:00,4409.6,4413.9,4403.9,4405.1,967
2023.08.25,21:45:00,4404.9,4413.1,4402.6,4412.6,891
2023.08.25,22:00:00,4412.8,4417.7,4408.1,4410.5,947
2023.08.25,22:15:00,4410.9,4417.4,4410.4,4414.3,864
2023.08.25,22:30:00,4414.3,4416.4,4407.6,4413,875
2023.08.25,22:45:00,4412.9,4414.1,4400.5,4404.1,1144
2023.08.25,23:00:00,4404.8,4407.6,4403.6,4405.6,179
2023.08.25,23:15:00,4405.6,4405.6,4404.3,4404.6,52
2023.08.25,23:30:00,4404.6,4405.3,4403.6,4403.8,43
2023.08.25,23:45:00,4403.8,4404.1,4401.9,4402.8,58
2023.08.28,1:00:00,4409.5,4415.6,4409.5,4414.6,274
2023.08.28,1:15:00,4414.4,4415.9,4412.9,4413.9,110
2023.08.28,1:30:00,4413.6,4413.6,4411.6,4412.1,102
2023.08.28,1:45:00,4411.9,4413.1,4411.6,4412.4,81
2023.08.28,2:00:00,4412.6,4414.1,4410.9,4413.9,98
2023.08.28,2:15:00,4413.6,4413.9,4411.6,4411.9,80
2023.08.28,2:30:00,4412.1,4413.4,4411.6,4413.4,73
2023.08.28,2:45:00,4413.1,4413.4,4412.1,4412.6,98
2023.08.28,3:00:00,4412.6,4412.9,4407.9,4408.4,235
2023.08.28,3:15:00,4408.2,4408.9,4406.6,4407.1,174
2023.08.28,3:30:00,4407.1,4407.6,4405.6,4407.4,139
2023.08.28,3:45:00,4407.6,4408.9,4406.1,4407.4,112
2023.08.28,4:00:00,4407.6,4410.6,4407.6,4408.9,165
2023.08.28,4:15:00,4408.6,4413.4,4408.6,4412.6,260
2023.08.28,4:30:00,4412.6,4413.1,4409.6,4411.4,323
2023.08.28,4:45:00,4411.6,4412.1,4409.9,4410.9,245
2023.08.28,5:00:00,4411.1,4411.9,4408.6,4410.9,245
2023.08.28,5:15:00,4411.1,4411.1,4408.7,4409.9,209
2023.08.28,5:30:00,4409.9,4411.9,4409.9,4411.6,160
2023.08.28,5:45:00,4411.9,4412.6,4411.6,4411.9,97
2023.08.28,6:00:00,4411.9,4411.9,4409.6,4410.1,63
2023.08.28,6:15:00,4409.9,4410.1,4408.4,4409.9,135
2023.08.28,6:30:00,4409.9,4410.1,4408.6,4409.4,83
2023.08.28,6:45:00,4409.1,4409.1,4406.9,4407.1,73
2023.08.28,7:00:00,4407.1,4408.4,4406.9,4408.4,81
2023.08.28,7:15:00,4408.4,4408.6,4407.9,4408.1,54
2023.08.28,7:30:00,4408.1,4408.9,4407.9,4408.4,40
2023.08.28,7:45:00,4408.5,4408.9,4408,4408.9,47
2023.08.28,8:00:00,4408.6,4408.9,4407.1,4407.4,135
2023.08.28,8:15:00,4407.5,4408.4,4407.1,4407.6,92
2023.08.28,8:30:00,4407.4,4411.1,4407.4,4410.9,94
2023.08.28,8:45:00,4410.6,4413.9,4410.4,4413.9,147
2023.08.28,9:00:00,4414.1,4414.9,4411.9,4414.1,135
2023.08.28,9:15:00,4413.9,4414.9,4413.4,4413.9,109
2023.08.28,9:30:00,4414.1,4414.9,4413.9,4414.9,99
2023.08.28,9:45:00,4414.9,4414.9,4411.9,4412.4,100
2023.08.28,10:00:00,4412.6,4413.9,4410.4,4412.1,267
2023.08.28,10:15:00,4411.9,4414.6,4411.6,4413.4,241
2023.08.28,10:30:00,4413.4,4414.9,4408.9,4409.6,203
2023.08.28,10:45:00,4409.6,4410.9,4406.9,4409.4,238
2023.08.28,11:00:00,4408.9,4413.1,4408.9,4411.1,213
2023.08.28,11:15:00,4411.1,4415.4,4410.6,4415.1,169
2023.08.28,11:30:00,4414.9,4415.4,4413.6,4413.9,156
2023.08.28,11:45:00,4414,4414.1,4411.9,4412.6,134
2023.08.28,12:00:00,4412.6,4413.1,4408.6,4409.6,162
2023.08.28,12:15:00,4409.6,4412.9,4407.9,4412.9,142
2023.08.28,12:30:00,4412.9,4414.1,4411.9,4412.6,124
2023.08.28,12:45:00,4412.6,4413.1,4411.4,4412.1,113
2023.08.28,13:00:00,4412.1,4412.4,4407.6,4408.9,158
2023.08.28,13:15:00,4408.6,4409.4,4407.9,4409.1,135
2023.08.28,13:30:00,4409.1,4411.6,4409.1,4410.4,135
2023.08.28,13:45:00,4410.4,4412.9,4409.9,4411.4,113
2023.08.28,14:00:00,4411.5,4413.9,4410.4,4412.1,178
2023.08.28,14:15:00,4412,4414.4,4411.9,4412.9,162
2023.08.28,14:30:00,4412.6,4415.1,4412.1,4414.1,137
2023.08.28,14:45:00,4414.1,4415.6,4413.6,4415.6,137
2023.08.28,15:00:00,4415.6,4419.4,4414.6,4418.8,167
2023.08.28,15:15:00,4418.6,4423.4,4418.1,4423,206
2023.08.28,15:30:00,4423,4426.4,4422.6,4425.1,207
2023.08.28,15:45:00,4425.1,4427.9,4422.6,4427.4,200
2023.08.28,16:00:00,4427.4,4429.6,4425.9,4427.4,267
2023.08.28,16:15:00,4427.1,4429.9,4426.1,4428.6,235
2023.08.28,16:30:00,4428.9,4438.3,4426.1,4433.2,1234
2023.08.28,16:45:00,4433.2,4437.2,4424.2,4432.1,1276
2023.08.28,17:00:00,4432.8,4434.4,4428.2,4429.8,1251
2023.08.28,17:15:00,4430.1,4437.8,4428.4,4437.8,1045
2023.08.28,17:30:00,4438.1,4438.4,4426.8,4428.6,962
2023.08.28,17:45:00,4428.4,4430.4,4419.8,4426.7,976
2023.08.28,18:00:00,4426.4,4426.9,4418.1,4421.1,936
2023.08.28,18:15:00,4420.6,4424.9,4419.1,4420.7,866
2023.08.28,18:30:00,4420.7,4425.8,4415.7,4418.2,908
2023.08.28,18:45:00,4417.8,4421.1,4415.2,4420.9,787
2023.08.28,19:00:00,4420.8,4422.8,4418.3,4422.1,740
2023.08.28,19:15:00,4422.1,4422.3,4415.7,4418.2,688
2023.08.28,19:30:00,4418.1,4425.7,4416.2,4423.4,616
2023.08.28,19:45:00,4423.6,4432.3,4422.8,4431.9,564
2023.08.28,20:00:00,4431.9,4438.8,4431.9,4434.1,681
2023.08.28,20:15:00,4434.2,4435.6,4430.8,4433.7,686
2023.08.28,20:30:00,4433.9,4435.8,4428.4,4428.6,647
2023.08.28,20:45:00,4428.4,4429.4,4414.7,4417.4,791
2023.08.28,21:00:00,4417.4,4420.1,4415.7,4417.4,810
2023.08.28,21:15:00,4417.4,4419.4,4414.9,4418.7,711
2023.08.28,21:30:00,4418.6,4424.4,4416.1,4422.3,748
2023.08.28,21:45:00,4422.4,4425.4,4420.4,4424.6,653
2023.08.28,22:00:00,4424.6,4429.8,4423.4,4426.2,666
2023.08.28,22:15:00,4426.3,4426.7,4420.1,4424.4,738
2023.08.28,22:30:00,4424.1,4429.6,4422.7,4429.6,711
2023.08.28,22:45:00,4429.4,4440.1,4429.2,4433.3,866
2023.08.28,23:00:00,4432.9,4435.4,4431.9,4434.6,142
2023.08.28,23:15:00,4434.4,4435.5,4433.6,4435.5,65
2023.08.28,23:30:00,4435.5,4436,4435.3,4435.3,34
2023.08.28,23:45:00,4435.5,4436.3,4435,4436,35
2023.08.29,1:00:00,4436.4,4439.1,4436.4,4438.5,96
2023.08.29,1:15:00,4438.6,4439.4,4438.1,4438.4,36
2023.08.29,1:30:00,4438.4,4438.6,4437.4,4438.4,47
2023.08.29,1:45:00,4438.5,4438.6,4437.9,4437.9,34
2023.08.29,2:00:00,4437.9,4438.1,4435.9,4436.1,46
2023.08.29,2:15:00,4436.1,4436.6,4436,4436.6,52
2023.08.29,2:30:00,4436.9,4436.9,4435.6,4436.1,30
2023.08.29,2:45:00,4436.1,4436.3,4434.9,4435.1,41
2023.08.29,3:00:00,4435.4,4435.4,4431.9,4434.1,179
2023.08.29,3:15:00,4433.9,4435.9,4433.9,4435.3,116
2023.08.29,3:30:00,4435.4,4436.4,4435.1,4435.4,120
2023.08.29,3:45:00,4435.6,4436.4,4435.1,4435.9,105
2023.08.29,4:00:00,4436.1,4436.3,4434.9,4435.4,71
2023.08.29,4:15:00,4435.1,4436.9,4434.4,4435.6,176
2023.08.29,4:30:00,4435.4,4436.9,4434.9,4436.9,247
2023.08.29,4:45:00,4436.6,4438.6,4432.4,4432.6,218
2023.08.29,5:00:00,4432.8,4435.4,4432.6,4435.1,149
2023.08.29,5:15:00,4434.9,4435.4,4434.1,4435.1,122
2023.08.29,5:30:00,4434.9,4435.9,4434.6,4435.6,87
2023.08.29,5:45:00,4435.5,4436.1,4434.9,4436.1,101
2023.08.29,6:00:00,4435.9,4436.4,4435.4,4436,79
2023.08.29,6:15:00,4436,4437.6,4435.6,4437.4,71
2023.08.29,6:30:00,4437.4,4437.9,4437.1,4437.4,56
2023.08.29,6:45:00,4437.1,4437.6,4436.5,4437.1,48
2023.08.29,7:00:00,4436.9,4437.6,4436.6,4436.9,31
2023.08.29,7:15:00,4436.6,4438.4,4436.6,4437.9,52
2023.08.29,7:30:00,4437.9,4437.9,4436.4,4436.6,68
2023.08.29,7:45:00,4436.6,4436.9,4436.4,4436.6,31
2023.08.29,8:00:00,4436.6,4440.1,4436.6,4439.4,110
2023.08.29,8:15:00,4439.5,4440.6,4439.1,4440.1,90
2023.08.29,8:30:00,4440,4440.4,4439.6,4439.6,124
2023.08.29,8:45:00,4439.6,4440.6,4439.6,4440.6,100
2023.08.29,9:00:00,4440.6,4442.1,4439.4,4439.9,131
2023.08.29,9:15:00,4440,4440.6,4439.6,4440.1,115
2023.08.29,9:30:00,4440.1,4443.1,4439.9,4441.6,127
2023.08.29,9:45:00,4441.4,4441.4,4438.1,4439.1,135
2023.08.29,10:00:00,4439.1,4440.6,4438.4,4439.1,325
2023.08.29,10:15:00,4439.1,4444.4,4438.6,4444.1,249
2023.08.29,10:30:00,4443.9,4446.4,4441.9,4442.4,247
2023.08.29,10:45:00,4442.6,4442.6,4431.9,4432.6,295
2023.08.29,11:00:00,4432.4,4434.9,4430.4,4430.9,294
2023.08.29,11:15:00,4430.9,4434.6,4430.9,4433.1,236
2023.08.29,11:30:00,4433.1,4437.1,4432.6,4435.6,188
2023.08.29,11:45:00,4435.4,4436.6,4430.9,4431.1,293
2023.08.29,12:00:00,4431.4,4435.6,4430.1,4434.6,278
2023.08.29,12:15:00,4434.6,4434.9,4431.9,4434.1,251
2023.08.29,12:30:00,4434.2,4436.9,4433.6,4436.6,238
2023.08.29,12:45:00,4436.9,4441.1,4436.4,4440.6,217
2023.08.29,13:00:00,4440.9,4441.4,4437.9,4438.6,194
2023.08.29,13:15:00,4438.6,4438.6,4434.9,4437.1,205
2023.08.29,13:30:00,4437.1,4438.4,4436.1,4437.1,178
2023.08.29,13:45:00,4436.9,4437.1,4433.1,4433.1,200
2023.08.29,14:00:00,4432.9,4436.1,4432.6,4434.1,229
2023.08.29,14:15:00,4434.4,4435.6,4431.6,4431.6,166
2023.08.29,14:30:00,4431.6,4433.9,4429.6,4430.6,218
2023.08.29,14:45:00,4430.4,4431.9,4429.6,4430.6,179
2023.08.29,15:00:00,4430.6,4434.6,4430.1,4432.1,160
2023.08.29,15:15:00,4432.4,4433.4,4426.4,4426.6,267
2023.08.29,15:30:00,4426.4,4431.4,4425.9,4431.4,222
2023.08.29,15:45:00,4431.6,4433.4,4429.6,4431.9,239
2023.08.29,16:00:00,4431.9,4433.4,4429.4,4430.1,318
2023.08.29,16:15:00,4430.1,4433.9,4428.1,4433,321
2023.08.29,16:30:00,4433.1,4443.1,4431.2,4442.1,1076
2023.08.29,16:45:00,4442.3,4448.7,4441.9,4444.5,917
2023.08.29,17:00:00,4444.7,4459.7,4444.7,4458.4,1382
2023.08.29,17:15:00,4458.3,4467.2,4458.1,4466.2,996
2023.08.29,17:30:00,4466.2,4474.4,4464.3,4464.9,948
2023.08.29,17:45:00,4464.8,4469.4,4461.8,4464.7,779
2023.08.29,18:00:00,4465.1,4471.6,4464.1,4471.3,768
2023.08.29,18:15:00,4471.3,4476.4,4469.9,4475.4,669
2023.08.29,18:30:00,4475.6,4486.3,4475.4,4485.8,645
2023.08.29,18:45:00,4486.1,4486.4,4481.1,4483.1,592
2023.08.29,19:00:00,4483.1,4485.4,4481.8,4483.2,603
2023.08.29,19:15:00,4483.3,4491.4,4482.9,4490.2,550
2023.08.29,19:30:00,4490.2,4490.9,4485.7,4486.7,551
2023.08.29,19:45:00,4486.7,4487.6,4482.6,4487.4,503
2023.08.29,20:00:00,4487.4,4490.4,4485.9,4489.4,505
2023.08.29,20:15:00,4489.7,4491.2,4486.3,4489.7,445
2023.08.29,20:30:00,4489.7,4494.6,4489.6,4492.3,398
2023.08.29,20:45:00,4492.3,4493.6,4483.7,4487.6,508
2023.08.29,21:00:00,4487.7,4491.4,4486.3,4488.3,461
2023.08.29,21:15:00,4488.4,4492.4,4487.1,4490.7,462
2023.08.29,21:30:00,4490.7,4495.1,4489.9,4494.1,455
2023.08.29,21:45:00,4494.1,4495.4,4489.6,4492.2,477
2023.08.29,22:00:00,4491.9,4493.7,4488.6,4493.4,515
2023.08.29,22:15:00,4493.3,4499.4,4492.6,4498.7,476
2023.08.29,22:30:00,4498.6,4500.4,4495.6,4500.2,545
2023.08.29,22:45:00,4499.9,4501.1,4494.3,4498.4,764
2023.08.29,23:00:00,4497.9,4500.4,4497.6,4499.9,166
2023.08.29,23:15:00,4499.9,4501.4,4499.9,4500.1,80
2023.08.29,23:30:00,4499.9,4500.6,4499.6,4499.6,48
2023.08.29,23:45:00,4499.6,4500.4,4499.1,4500.4,42
2023.08.30,1:00:00,4500.3,4503.5,4499.5,4502.3,139
2023.08.30,1:15:00,4502.3,4503.3,4502,4503.3,52
2023.08.30,1:30:00,4503,4503.5,4501.5,4501.8,39
2023.08.30,1:45:00,4501.8,4502.1,4501,4501.5,43
2023.08.30,2:00:00,4501.8,4502.6,4501.3,4501.8,47
2023.08.30,2:15:00,4501.8,4501.8,4500.8,4501,56
2023.08.30,2:30:00,4501,4501.5,4500.8,4501.3,55
2023.08.30,2:45:00,4501.3,4501.3,4500.5,4501,72
2023.08.30,3:00:00,4501,4501.5,4500.3,4500.9,147
2023.08.30,3:15:00,4500.8,4503.8,4500.8,4503,114
2023.08.30,3:30:00,4503,4503.3,4501.3,4501.5,85
2023.08.30,3:45:00,4501.5,4503,4501.3,4502.8,107
2023.08.30,4:00:00,4503,4503,4501.5,4502,95
2023.08.30,4:15:00,4502.3,4504.8,4501.8,4503.5,138
2023.08.30,4:30:00,4503.8,4504.5,4502.2,4503.5,286
2023.08.30,4:45:00,4503.6,4506,4503.3,4505.5,189
2023.08.30,5:00:00,4505.6,4507.5,4505.3,4507.5,128
2023.08.30,5:15:00,4507.5,4508.3,4506.5,4506.5,126
2023.08.30,5:30:00,4506.5,4507.3,4505.8,4506.5,97
2023.08.30,5:45:00,4506.4,4506.8,4505.3,4505.3,93
2023.08.30,6:00:00,4505.5,4506.8,4505.3,4506.5,67
2023.08.30,6:15:00,4506.3,4506.8,4506,4506.3,57
2023.08.30,6:30:00,4506,4506.8,4505.8,4506.5,58
2023.08.30,6:45:00,4506.3,4506.8,4506,4506.3,30
2023.08.30,7:00:00,4506,4506.8,4505.3,4506.8,52
2023.08.30,7:15:00,4506.8,4507,4506.3,4506.8,34
2023.08.30,7:30:00,4506.8,4507,4504.8,4505,45
2023.08.30,7:45:00,4504.9,4505.3,4504,4504,36
2023.08.30,8:00:00,4504,4505,4504,4504.5,93
2023.08.30,8:15:00,4504.3,4505.8,4503,4503.3,91
2023.08.30,8:30:00,4503,4503.8,4501.5,4503,119
2023.08.30,8:45:00,4502.8,4502.8,4500,4501.8,150
2023.08.30,9:00:00,4501.5,4501.5,4499.5,4500,195
2023.08.30,9:15:00,4500,4501,4499,4500.3,187
2023.08.30,9:30:00,4500.3,4500.5,4499,4499.5,137
2023.08.30,9:45:00,4499.3,4500,4496.8,4497.8,148
2023.08.30,10:00:00,4497.9,4500.3,4494.8,4497,348
2023.08.30,10:15:00,4497,4497,4491.8,4493.3,305
2023.08.30,10:30:00,4493.4,4496.3,4492.9,4496,280
2023.08.30,10:45:00,4496,4499.5,4496,4499.5,225
2023.08.30,11:00:00,4499.8,4500,4493.3,4495.3,280
2023.08.30,11:15:00,4495.3,4496.8,4491.5,4491.6,233
2023.08.30,11:30:00,4491.6,4493.8,4491.6,4493,225
2023.08.30,11:45:00,4492.9,4493.5,4491.5,4491.8,195
2023.08.30,12:00:00,4491.8,4493,4489.9,4490.5,235
2023.08.30,12:15:00,4490.5,4492.5,4489.8,4491.5,176
2023.08.30,12:30:00,4491.3,4491.5,4488.5,4489.3,173
2023.08.30,12:45:00,4489.3,4492.8,4488.8,4490.8,189
2023.08.30,13:00:00,4491,4493.3,4490.8,4493.3,152
2023.08.30,13:15:00,4493.1,4494.9,4492.5,4494.8,111
2023.08.30,13:30:00,4495,4497.3,4493.8,4496.3,114
2023.08.30,13:45:00,4496,4497,4495,4496,116
2023.08.30,14:00:00,4495.8,4496.5,4493.5,4494.8,170
2023.08.30,14:15:00,4494.8,4496.3,4493,4496,135
2023.08.30,14:30:00,4495.5,4495.8,4493.5,4494.8,171
2023.08.30,14:45:00,4494.8,4496.3,4493.8,4493.8,139
2023.08.30,15:00:00,4493.9,4497.8,4492.5,4496.8,197
2023.08.30,15:15:00,4497,4501.8,4496.8,4500.5,433
2023.08.30,15:30:00,4500.4,4506,4498.8,4500,662
2023.08.30,15:45:00,4500.3,4502.3,4498,4502,426
